0,10000, -2,30258
0,20000, -1,60943
0,30000, -1,20397
0,40000, -0,91629
0,50000, -0,69315
0,60000, -0,51083
0,70000, -0,35667
0,80000, -0,22314
0,90000, -0,10536
1,00000, -0,00000
1,10000, 0,09531
1,20000, 0,18232
1,30000, 0,26236
1,40000, 0,33647
1,50000, 0,40546
1,60000, 0,47000
1,70000, 0,53063
1,80000, 0,58779
1,90000, 0,64185
2,00000, 0,69315
2,10000, 0,74194
2,20000, 0,78846
2,30000, 0,83291
2,40000, 0,87547
2,50000, 0,91629
2,60000, 0,95551
2,70000, 0,99325
2,80000, 1,02962
2,90000, 1,06471
3,00000, 1,09861
3,10000, 1,13140
3,20000, 1,16315
3,30000, 1,19392
3,40000, 1,22378
3,50000, 1,25276
3,60000, 1,28093
3,70000, 1,30833
3,80000, 1,33500
3,90000, 1,36098
4,00000, 1,38629
4,10000, 1,41099
4,20000, 1,43508
4,30000, 1,45861
4,40000, 1,48161
4,50000, 1,50408
4,60000, 1,52606
4,70000, 1,54756
4,80000, 1,56862
4,90000, 1,58924
5,00000, 1,60944
5,10000, 1,62924
5,20000, 1,64866
5,30000, 1,66771
5,40000, 1,68640
5,50000, 1,70475
5,60000, 1,72277
5,70000, 1,74047
5,80000, 1,75786
5,90000, 1,77495
6,00000, 1,79176
6,10000, 1,80829
6,20000, 1,82455
6,30000, 1,84055
6,40000, 1,85630
6,50000, 1,87180
6,60000, 1,88707
6,70000, 1,90211
6,80000, 1,91692
6,90000, 1,93152
7,00000, 1,94591
7,10000, 1,96010
7,20000, 1,97408
7,30000, 1,98787
7,40000, 2,00148
7,50000, 2,01490
7,60000, 2,02815
7,70000, 2,04122
7,80000, 2,05412
7,90000, 2,06686
8,00000, 2,07944
8,10000, 2,09186
8,20000, 2,10413
8,30000, 2,11626
8,40000, 2,12823
8,50000, 2,14007
8,60000, 2,15176
8,70000, 2,16332
8,80000, 2,17475
8,90000, 2,18605
9,00000, 2,19722
9,10000, 2,20828
9,20000, 2,21920
9,30000, 2,23001
9,40000, 2,24071
9,50000, 2,25129
9,60000, 2,26176
9,70000, 2,27213
9,80000, 2,28238
9,90000, 2,29254
10,00000, 2,30258
10,10000, 2,31254
10,20000, 2,32239
10,30000, 2,33214
10,40000, 2,34181
10,50000, 2,35138
10,60000, 2,36085
10,70000, 2,37024
10,80000, 2,37955
10,90000, 2,38876
11,00000, 2,39789
11,10000, 2,40695
11,20000, 2,41591
11,30000, 2,42480
11,40000, 2,43361
11,50000, 2,44235
11,60000, 2,45100
11,70000, 2,45959
11,80000, 2,46810
11,90000, 2,47654
12,00000, 2,48491
12,10000, 2,49321
12,20000, 2,50144
12,30000, 2,50960
12,40000, 2,51770
12,50000, 2,52573
12,60000, 2,53370
12,70000, 2,54160
12,80000, 2,54945
12,90000, 2,55723
13,00000, 2,56495
13,10000, 2,57261
13,20000, 2,58022
13,30000, 2,58776
13,40000, 2,59526
13,50000, 2,60269
13,60000, 2,61007
13,70000, 2,61740
13,80000, 2,62467
13,90000, 2,63189
14,00000, 2,63906
14,10000, 2,64618
14,20000, 2,65324
14,30000, 2,66026
14,40000, 2,66723
14,50000, 2,67415
14,60000, 2,68102
14,70000, 2,68785
14,80000, 2,69463
14,90000, 2,70136
15,00000, 2,70805
15,10000, 2,71470
15,20000, 2,72129
15,30000, 2,72785
15,40000, 2,73437
15,50000, 2,74084
15,60000, 2,74727
15,70000, 2,75366
15,80000, 2,76001
15,90000, 2,76632
16,00000, 2,77259
16,10000, 2,77882
16,20000, 2,78501
16,30000, 2,79117
16,40000, 2,79728
16,50000, 2,80336
16,60000, 2,80940
16,70000, 2,81541
16,80000, 2,82138
16,90000, 2,82731
17,00000, 2,83321
17,10000, 2,83908
17,20000, 2,84491
17,30000, 2,85071
17,40000, 2,85647
17,50000, 2,86220
17,60000, 2,86790
17,70000, 2,87356
17,80000, 2,87920
17,90000, 2,88480
18,00000, 2,89037
18,10000, 2,89591
18,20000, 2,90142
18,30000, 2,90690
18,40000, 2,91235
18,50000, 2,91777
18,60000, 2,92316
18,70000, 2,92852
18,80000, 2,93386
18,90000, 2,93916
19,00000, 2,94444
19,10000, 2,94969
19,20000, 2,95491
19,30000, 2,96011
19,40000, 2,96527
19,50000, 2,97041
19,60000, 2,97553
19,70000, 2,98062
19,80000, 2,98568
19,90000, 2,99072
